brand,region,event_type,start_date,sell_through_pct,units_sold,pitch_hz,volume,instrument
Armani Beauty,Europe,Flash Event,2024-02-25,47.8,805,316.88073394495416,0.0,square
Armani Beauty,Asia-Pacific,Mall Kiosk,2024-03-01,60.37,2718,580.1376146788991,0.41641271223334786,square
Armani Beauty,Asia-Pacific,Mall Kiosk,2024-03-04,67.24,1398,398.48623853211006,0.2873313016978668,square
Armani Beauty,Middle East,Mobile Pop-Up Truck,2024-03-12,74.63,806,317.0183486238532,0.12886373530692208,square
Armani Beauty,Asia-Pacific,Mobile Pop-Up Truck,2024-03-17,60.76,675,298.9908256880734,0.02851545494122769,square
Armani Beauty,North America,Mobile Pop-Up Truck,2024-03-17,83.98,713,304.2201834862385,0.00827165868524162,square
Armani Beauty,Asia-Pacific,Mall Kiosk,2024-03-27,58.2,2086,493.1651376146789,0.29886808881149324,square
Armani Beauty,Europe,Flash Event,2024-03-31,64.91,1121,360.3669724770642,0.21005659555942532,square
Armani Beauty,Latin America,Standalone Pop-Up,2024-04-06,87.21,4042,762.3394495412845,0.6358293426208097,square
Armani Beauty,Asia-Pacific,Shop-in-Shop,2024-04-15,74.86,1382,396.2844036697247,0.5790161079669134,square
Armani Beauty,Middle East,Standalone Pop-Up,2024-04-17,86.57,2147,501.5596330275229,0.16652154984762735,square
Armani Beauty,Asia-Pacific,Mobile Pop-Up Truck,2024-05-13,81.08,2400,536.3761467889908,0.055071832825424466,square
Armani Beauty,North America,Mobile Pop-Up Truck,2024-05-18,87.53,330,251.5137614678899,0.45058772311710926,square
Armani Beauty,Latin America,Mobile Pop-Up Truck,2024-05-28,87.21,532,279.3119266055046,0.04397039616891598,square
Armani Beauty,Europe,Shop-in-Shop,2024-06-02,60.54,2188,507.20183486238534,0.3604701784936874,square
Armani Beauty,Asia-Pacific,Standalone Pop-Up,2024-06-15,87.23,1312,386.65137614678895,0.19068350021767522,square
Armani Beauty,Latin America,Standalone Pop-Up,2024-06-18,51.76,1736,445.0,0.09229429690901175,square
Armani Beauty,Latin America,Mall Kiosk,2024-06-22,93.58,2946,611.5137614678899,0.26338702655637786,square
Armani Beauty,Europe,Standalone Pop-Up,2024-06-24,44.65,1522,415.55045871559633,0.3099695254680017,square
Armani Beauty,Asia-Pacific,Shop-in-Shop,2024-06-28,62.38,1010,345.0917431192661,0.11144971702220287,square
Armani Beauty,Middle East,Shop-in-Shop,2024-07-06,85.94,1718,442.5229357798165,0.15411406181976492,square
Armani Beauty,Middle East,Mobile Pop-Up Truck,2024-07-13,93.83,4154,777.7522935779816,0.5302568567696996,square
Armani Beauty,Middle East,Shop-in-Shop,2024-07-19,71.66,670,298.302752293578,0.7583804962995211,square
Armani Beauty,Middle East,Standalone Pop-Up,2024-07-22,66.59,1726,443.6238532110092,0.22986504135829341,square
Armani Beauty,North America,Shop-in-Shop,2024-07-24,81.26,1756,447.7522935779817,0.006530256856769699,square
Armani Beauty,North America,Mobile Pop-Up Truck,2024-08-02,89.15,1677,436.88073394495416,0.017196343056160208,square
Armani Beauty,Middle East,Standalone Pop-Up,2024-08-06,99.13,795,315.5045871559633,0.19198955158902917,square
Armani Beauty,North America,Standalone Pop-Up,2024-08-21,75.69,3316,662.4311926605504,0.5487592511972138,square
Armani Beauty,Latin America,Flash Event,2024-08-22,99.42,2064,490.13761467889907,0.2725293861558555,square
Armani Beauty,North America,Mobile Pop-Up Truck,2024-08-24,98.3,1270,380.8715596330275,0.17283413147583804,square
Armani Beauty,Europe,Flash Event,2024-09-11,99.34,3763,723.9449541284404,0.5426643447975621,square
Armani Beauty,Latin America,Standalone Pop-Up,2024-09-16,100.0,4897,880.0,0.24684370918589466,square
Armani Beauty,Europe,Standalone Pop-Up,2024-09-19,67.14,844,322.2477064220184,0.8822377013495865,square
Armani Beauty,Middle East,Shop-in-Shop,2024-09-21,79.04,2180,506.10091743119267,0.2908141053548106,square
Armani Beauty,Asia-Pacific,Standalone Pop-Up,2024-09-23,66.07,2360,530.8715596330276,0.0391815411406182,square
Armani Beauty,Latin America,Shop-in-Shop,2024-09-24,57.17,1009,344.95412844036696,0.29407923378319545,square
Armani Beauty,Europe,Mobile Pop-Up Truck,2024-09-27,69.02,1916,469.7706422018349,0.19743143230300392,square
Armani Beauty,Latin America,Standalone Pop-Up,2024-10-05,47.31,1029,347.70642201834863,0.1930779277318241,square
Armani Beauty,Europe,Mall Kiosk,2024-10-06,70.18,1273,381.2844036697248,0.053112755768393555,square
Armani Beauty,North America,Shop-in-Shop,2024-10-11,83.89,3307,661.1926605504588,0.4427514148889856,square
Armani Beauty,North America,Mobile Pop-Up Truck,2024-10-11,73.77,3091,631.4678899082569,0.047017849368741836,square
Armani Beauty,Europe,Flash Event,2024-10-12,70.65,3064,627.7522935779816,0.0058772311710927295,square
Armani Beauty,Latin America,Standalone Pop-Up,2024-10-15,81.39,3791,727.7981651376147,0.15824989116238572,square
Armani Beauty,North America,Mobile Pop-Up Truck,2024-10-16,79.38,2148,501.697247706422,0.3576404005224206,square
Armani Beauty,Middle East,Mall Kiosk,2024-10-18,69.35,1328,388.8532110091743,0.1784936874183718,square
Armani Beauty,Europe,Mobile Pop-Up Truck,2024-10-21,71.36,147,226.3302752293578,0.25707444492816717,square
Armani Beauty,North America,Shop-in-Shop,2024-10-30,86.75,3988,754.9082568807339,0.8360905528950805,square
Armani Beauty,Latin America,Shop-in-Shop,2024-11-01,50.59,129,223.85321100917432,0.8400087070091423,square
Armani Beauty,Latin America,Flash Event,2024-11-04,89.91,2549,556.8807339449542,0.5267740531127557,square
Armani Beauty,North America,Shop-in-Shop,2024-11-09,82.89,3570,697.3853211009175,0.22224640835872878,square
Armani Beauty,Middle East,Standalone Pop-Up,2024-11-18,88.56,1572,422.43119266055044,0.43491510666086197,square
Armani Beauty,Middle East,Mall Kiosk,2024-11-30,58.54,747,308.89908256880733,0.17958206356116674,square
Armani Beauty,North America,Standalone Pop-Up,2024-12-12,71.08,354,254.8165137614679,0.08554636482368307,square
Armani Beauty,Europe,Standalone Pop-Up,2024-12-21,61.67,1635,431.10091743119267,0.27884196778406617,square
Armani Beauty,Europe,Mall Kiosk,2024-12-25,86.17,2673,573.9449541284404,0.22594688724423162,square
Armani Beauty,Middle East,Standalone Pop-Up,2024-12-25,85.63,1526,416.10091743119267,0.2496734871571615,square
Armani Beauty,Latin America,Flash Event,2024-12-26,56.01,2716,579.8623853211009,0.2590335219851981,square
Armani Beauty,Middle East,Mall Kiosk,2025-01-01,74.09,286,245.45871559633028,0.5289508053983457,square
Armani Beauty,Latin America,Standalone Pop-Up,2025-01-13,65.87,2523,553.3027522935779,0.4869394862864606,square
Armani Beauty,Asia-Pacific,Standalone Pop-Up,2025-01-21,100.0,2606,564.7247706422017,0.018067043970396168,square
Armani Beauty,Asia-Pacific,Flash Event,2025-01-23,99.77,4800,866.651376146789,0.477579451458424,square
Armani Beauty,Middle East,Mobile Pop-Up Truck,2025-01-25,62.57,1431,403.0275229357798,0.7333478450152373,square
Armani Beauty,North America,Mall Kiosk,2025-01-28,85.71,1320,387.7522935779816,0.02416195037004789,square
Armani Beauty,Asia-Pacific,Mobile Pop-Up Truck,2025-01-31,59.93,2406,537.2018348623853,0.23639529821506314,square
Armani Beauty,Asia-Pacific,Mall Kiosk,2025-02-19,48.88,394,260.3211009174312,0.43796255986068783,square
Armani Beauty,North America,Mall Kiosk,2025-02-26,60.08,1553,419.8165137614679,0.2522855898998694,square
Armani Beauty,Europe,Standalone Pop-Up,2025-03-01,79.44,398,260.8715596330275,0.2514148889856334,square
Armani Beauty,North America,Shop-in-Shop,2025-03-02,79.8,2568,559.4954128440368,0.47235524597300826,square
Armani Beauty,Middle East,Standalone Pop-Up,2025-03-06,94.15,595,287.9816513761468,0.42947322594688725,square
Armani Beauty,Asia-Pacific,Mall Kiosk,2025-03-12,40.9,739,307.79816513761466,0.03134523291249456,square
Armani Beauty,Europe,Flash Event,2025-03-17,65.69,739,307.79816513761466,0.0,square
Armani Beauty,Europe,Shop-in-Shop,2025-03-18,68.12,936,334.9082568807339,0.04288202002612103,square
